"ライン","No","機械区分","項目","改定日","blockId"
"C-9","1","絞り","マガジン","2026-04-15","main"
"C-9","2","絞り","金型内","2026-04-15","main"
"C-9","3","絞り","スタッカーチェーンカバー","2026-04-15","main"
"C-9","4","絞り","出口シュート","2026-04-15","main"
"C-9","5","絞り","メインモーター上","2026-04-15","main"
"C-9","6","絞り","立上コンベア側面及び上部カバー","2026-04-15","main"
"C-9","7","爪曲げ","入口シュート","2026-04-15","main"
"C-9","8","爪曲げ","裏向き排出のカゴ","2026-04-15","main"
"C-9","9","爪曲げ","金型","2026-04-15","main"
"C-9","10","爪曲げ","メインモーター付近","2026-04-15","main"
"C-9","11","爪曲げ","立上コンベア側面及び上部カバー","2026-04-15","main"
"C-9","12","爪曲げ","油受け","2026-04-15","main"
"C-9","13","爪曲げ","ゲージ置場・排出カゴ","2026-04-15","main"
"C-9","14","爪曲げ","出口シュート","2026-04-15","main"
"C-9","15","オートパッカー","入口シュート","2026-04-15","main"
"C-9","16","オートパッカー","機械内及びターレット内","2026-04-15","main"
"C-9","17","オートパッカー","出口シュートから立上コンベアー","2026-04-15","main"
"C-9","18","オートパッカー","バイパスシュート","2026-04-15","main"
"C-9","19","オートパッカー","排出シュート","2026-04-15","main"
"C-9","1","絞り","マガジン","2026-04-15","secondary"
"C-9","2","絞り","金型内","2026-04-15","secondary"
"C-9","3","絞り","スタッカーチェーンカバー","2026-04-15","secondary"
"C-9","4","絞り","出口シュート","2026-04-15","secondary"
"C-9","5","絞り","メインモーター上","2026-04-15","secondary"
"C-9","6","絞り","立上コンベア側面及び上部カバー","2026-04-15","secondary"
"C-9","7","爪曲げ","入口シュート","2026-04-15","secondary"
"C-9","8","爪曲げ","裏向き排出のカゴ","2026-04-15","secondary"
"C-9","9","爪曲げ","金型","2026-04-15","secondary"
"C-9","10","爪曲げ","メインモーター付近","2026-04-15","secondary"
"C-9","11","爪曲げ","立上コンベア側面及び上部カバー","2026-04-15","secondary"
"C-9","12","爪曲げ","油受け","2026-04-15","secondary"
"C-9","13","爪曲げ","ゲージ置場・排出カゴ","2026-04-15","secondary"
"C-9","14","爪曲げ","出口シュート","2026-04-15","secondary"
"C-9","15","オートパッカー","入口シュート","2026-04-15","secondary"
"C-9","16","オートパッカー","機械内及びターレット内","2026-04-15","secondary"
"C-9","17","オートパッカー","出口シュートから立上コンベアー","2026-04-15","secondary"
"C-9","18","オートパッカー","バイパスシュート","2026-04-15","secondary"
"C-9","19","オートパッカー","排出シュート","2026-04-15","secondary"
"C-9","1","セット機","排出シュート及び箱","2026-04-15","secondary"
"C-9","2","セット機","出口コンベア","2026-04-15","secondary"
"C-9","3","セット機","画像処理排出シュート（表面）","2026-04-15","secondary"
"C-9","4","セット機","移送コンベア裏及び下","2026-04-15","secondary"
"C-9","5","セット機","セット機内","2026-04-15","secondary"
"C-9","6","セット機","スイッチボックス上","2026-04-15","secondary"
"C-9","7","検査コンベアー","シュート出口からコンベア上","2026-04-15","secondary"
"C-9","8","検査コンベアー","配線付近","2026-04-15","secondary"
"C-9","9","検査コンベアー","画像処理排出シュート（裏面）","2026-04-15","secondary"
"C-9","10","検査コンベアー","ラウンジ内、不良仮置きカゴ","2026-04-15","secondary"
"C-9","11","検査コンベアー","高さ検出排出シュート","2026-04-15","secondary"
"C-9","12","検査コンベアー","ケース内残品","2026-04-15","secondary"
"C-9","1","セット機","排出シュート及び箱","2026-04-15","secondary"
"C-9","2","セット機","出口コンベア","2026-04-15","secondary"
"C-9","3","セット機","画像処理排出シュート（表面）","2026-04-15","secondary"
"C-9","4","セット機","移送コンベア裏及び下","2026-04-15","secondary"
"C-9","5","セット機","セット機内","2026-04-15","secondary"
"C-9","6","セット機","スイッチボックス上","2026-04-15","secondary"
"C-9","7","検査コンベアー","シュート出口からコンベア上","2026-04-15","secondary"
"C-9","8","検査コンベアー","配線付近","2026-04-15","secondary"
"C-9","9","検査コンベアー","画像処理排出シュート（裏面）","2026-04-15","secondary"
"C-9","10","検査コンベアー","ラウンジ内、不良仮置きカゴ","2026-04-15","secondary"
"C-9","11","検査コンベアー","高さ検出排出シュート","2026-04-15","secondary"
"C-9","12","検査コンベアー","ケース内残品","2026-04-15","secondary"
