ライン,No,機械区分,項目,判定種別,改定日,アクション,旧項目名
C-9,1,絞り,マガジン,XO,2026-04-15,追加,
C-9,2,絞り,金型内,XO,2026-04-15,追加,
C-9,3,絞り,スタッカーチェーンカバー,XO,2026-04-15,追加,
C-9,4,絞り,出口シュート,XO,2026-04-15,追加,
C-9,5,絞り,メインモーター上,XO,2026-04-15,追加,
C-9,6,絞り,立上コンベア側面及び上部カバー,XO,2026-04-15,追加,
C-9,7,爪曲げ,入口シュート,XO,2026-04-15,追加,
C-9,8,爪曲げ,裏向き排出のカゴ,XO,2026-04-15,追加,
C-9,9,爪曲げ,金型,XO,2026-04-15,追加,
C-9,10,爪曲げ,メインモーター付近,XO,2026-04-15,追加,
C-9,11,爪曲げ,立上コンベア側面及び上部カバー,XO,2026-04-15,追加,
C-9,12,爪曲げ,油受け,XO,2026-04-15,追加,
C-9,13,爪曲げ,ゲージ置場・排出カゴ,XO,2026-04-15,追加,
C-9,14,爪曲げ,出口シュート,XO,2026-04-15,追加,
C-9,15,オートパッカー,入口シュート,XO,2026-04-15,追加,
C-9,16,オートパッカー,機械内及びターレット内,XO,2026-04-15,追加,
C-9,17,オートパッカー,出口シュートから立上コンベアー,XO,2026-04-15,追加,
C-9,18,オートパッカー,バイパスシュート,XO,2026-04-15,追加,
C-9,19,オートパッカー,排出シュート,XO,2026-04-15,追加,
C-9,20,オート,立ち上げコンベアー接続部分,XO,2026-04-15,追加,
C-9,21,オート,立ち上げコンベアー頂上付近,XO,2026-04-15,追加,
C-9,23,小爪曲げ,入口シュート,XO,2026-04-15,追加,
C-9,24,小爪曲げ,振り分け供給部シュート,XO,2026-04-15,追加,
C-9,25,小爪曲げ,機械内及びターレット内,XO,2026-04-15,追加,
C-9,26,小爪曲げ,出口シュート,XO,2026-04-15,追加,
C-9,27,小爪曲げ,排出シュート,XO,2026-04-15,追加,
C-9,28,セット機,バイパスシュート,XO,2026-04-15,追加,
C-9,29,セット機,キャップ入口シュート,XO,2026-04-15,追加,
C-9,30,セット機,ドライポンプ付近,XO,2026-04-15,追加,
C-9,31,セット機,封印入口シュート(ポリプロ・ブリキ),XO,2026-04-15,追加,
C-9,32,セット機,封印立ち上げコンベア(ポリプロ・ブリキ),XO,2026-04-15,追加,
C-9,33,セット機,パーツフィーダ、ホッパー(ポリプロ・ブリキ),XO,2026-04-15,追加,
C-9,34,セット機,排出シュート及び箱,XO,2026-04-15,追加,
C-9,35,セット機,出口コンベア,XO,2026-04-15,追加,
C-9,36,セット機,画像処理排出シュート(表面),XO,2026-04-15,追加,
C-9,37,セット機,移送コンベア裏及び下,XO,2026-04-15,追加,
C-9,38,セット機,セット機内,XO,2026-04-15,追加,
C-9,39,セット機,スイッチボックス上,XO,2026-04-15,追加,
C-9,40,検査コンベアー,シュート出口からコンベア上,XO,2026-04-15,追加,
C-9,41,検査コンベアー,配線付近,XO,2026-04-15,追加,
C-9,42,検査コンベアー,画像処理排出シュート(裏面),XO,2026-04-15,追加,
C-9,43,検査コンベアー,ラウンジ内、不良仮置きカゴ,XO,2026-04-15,追加,
C-9,44,検査コンベアー,高さ検出排出シュート,XO,2026-04-15,追加,
C-9,45,検査コンベアー,ケース内残品,XO,2026-04-15,追加,
