ライン,No,機械区分,項目,判定種別,点検者,改定日,アクション,旧項目名
C-8,1,絞り,マガジン,XO,両方,2024-04-15,追加,
C-8,2,絞り,金型,XO,両方,2024-04-15,追加,
C-8,3,絞り,出口シュート,XO,両方,2024-04-15,追加,
C-8,4,絞り,立上コンベア付近,XO,両方,2024-04-15,追加,
C-8,5,爪曲げ,入り口シュート,XO,両方,2024-04-15,追加,
C-8,6,爪曲げ,裏向き排出のカゴ,XO,両方,2024-04-15,追加,
C-8,7,爪曲げ,金型,XO,両方,2024-04-15,追加,
C-8,8,爪曲げ,出口シュート,XO,両方,2024-04-15,追加,
C-8,9,爪曲げ,立上コンベア付近,XO,両方,2024-04-15,追加,
C-8,10,PEオート,入り口シュート,XO,両方,2024-04-15,追加,
C-8,11,PEオート,PEホッパー,XO,両方,2024-04-15,追加,
C-8,12,PEオート,PEパーツフィーダ,XO,両方,2024-04-15,追加,
C-8,13,PEオート,マガジン,XO,両方,2024-04-15,追加,
C-8,14,PEオート,機械内,XO,両方,2024-04-15,追加,
C-8,15,PEオート,不良排出シュート・カゴ,XO,両方,2024-04-15,追加,
C-8,16,PEオート,出口シュート,XO,両方,2024-04-15,追加,
C-8,17,セット機,立ち上げコンベア,XO,両方,2024-04-15,追加,
C-8,18,セット機,キャップ入り口コンベア,XO,両方,2024-04-15,追加,
C-8,19,セット機,機械内,XO,両方,2024-04-15,追加,
C-8,20,セット機,セット不良排出カゴ,XO,両方,2024-04-15,追加,
C-8,21,セット機,封印パーツフィーダー（ブリキ・ポリプロ）,XO,両方,2024-04-15,追加,
C-8,22,セット機,封印ホッパー（ブリキ・ポリプロ）,XO,両方,2024-04-15,追加,
C-8,23,セット機,ホッパー下の排出縁カゴ内,XO,両方,2024-04-15,追加,
C-8,24,セット機,封印振り分け分岐部,XO,両方,2024-04-15,追加,
C-8,25,セット機,セット機封印入り口コンベア上,XO,両方,2024-04-15,追加,
C-8,26,セット機,出口シュート,XO,両方,2024-04-15,追加,
C-8,27,セット機,バイパスシュート,XO,両方,2024-04-15,追加,
C-8,28,画像処理装置,表面・裏面コンベア上,XO,両方,2024-04-15,追加,
C-8,29,画像処理装置,リング浮き検出排出カゴ,XO,両方,2024-04-15,追加,
C-8,30,画像処理装置,表面画像排出カゴ,XO,両方,2024-04-15,追加,
C-8,31,画像処理装置,裏面画像排出カゴ,XO,両方,2024-04-15,追加,
C-8,32,画像処理装置,機械上,XO,両方,2024-04-15,追加,
C-8,33,画像処理装置,ケース強制排出,XO,両方,2024-04-15,追加,
C-8,34,画像処理装置,ケース内確認,XO,両方,2024-04-15,追加,
