"ライン","No","機械区分","項目","改定日","blockId"
"C-9","1","絞り","マガジン","2026-04-15","main"
"C-9","2","絞り","金型内","2026-04-15","main"
"C-9","3","絞り","スタッカーチェーンカバー","2026-04-15","main"
"C-9","4","絞り","出口シュート","2026-04-15","main"
"C-9","5","絞り","メインモーター上","2026-04-15","main"
"C-9","6","絞り","立上コンベア側面及び上部カバー","2026-04-15","main"
"C-9","7","爪曲げ","入口シュート","2026-04-15","main"
"C-9","8","爪曲げ","裏向き排出のカゴ","2026-04-15","main"
"C-9","9","爪曲げ","金型","2026-04-15","main"
"C-9","10","爪曲げ","メインモーター付近","2026-04-15","main"
"C-9","11","爪曲げ","立上コンベア側面及び上部カバー","2026-04-15","main"
"C-9","12","爪曲げ","油受け","2026-04-15","main"
"C-9","13","爪曲げ","ゲージ置場・排出カゴ","2026-04-15","main"
"C-9","14","爪曲げ","出口シュート","2026-04-15","main"
"C-9","15","オートパッカー","入口シュート","2026-04-15","main"
"C-9","16","オートパッカー","機械内及びターレット内","2026-04-15","main"
"C-9","17","オートパッカー","出口シュートから立上コンベアー","2026-04-15","main"
"C-9","18","オートパッカー","バイパスシュート","2026-04-15","main"
"C-9","19","オートパッカー","排出シュート","2026-04-15","main"
