ライン,No,名称,設備,部材,作業者,作業方法,点検,記録_作り込み,特性/測定方法,方式,測定器具,頻度,記録_品質,改定日,備考

C-8,0,文書情報,ヘッダ,,,QC工程表 C-8ライン(夜14),,,,,,,,2026-04-15,記入:川越 / 承認:秋山 2026.4.15

C-8,0,文書情報,ヘッダ,,,製造品種:（ライン共通・品種別は別管理可）,,,,,,,,2026-04-15,文書主管:品質管理課想定

C-8,1,始業管理,日報,,パ,センサチェック結果を含む日報を記入する。,始,作報,【特性】記録漏れ防止,－,目視,始,作報,2026-04-15,周辺準備

C-8,1,始業管理,印鑑,,パ,印鑑の日付が正しいか確認する。,始,作報,【特性】日付ミス防止,全,目視,始,作報,2026-04-15,

C-8,1,始業管理,面金,,パ,面金をセットする。,始,作報,,,,,,2026-04-15,

C-8,1,始業管理,シリンダ,,パ,シリンダペダルを20分間踏み、ワークを溜める。,始,作報,,,,,,2026-04-15,

C-8,1,始業管理,副資材,,パ,副資材を準備し記録する。,始,作報,,,,,,2026-04-15,

C-8,1,始業管理,画像処理,,パ,画像処理の総数・不良数カウントがゼロになっているか確認する。,始,作報,【特性】カウント不一致,－,目視,始,作報,2026-04-15,

C-8,1,始業管理,セット機フィルター,,パ,セット機（グリス/洗剤）フィルターに溜液がないか確認し、作業報告に捺印する。,始,作報,【特性】汚れ・漏れ,抜,目視,始,作報,2026-04-15,

C-8,2,清掃,絞り,,パ,ダストの有無を確認する。,始,作報,【特性】汚れ,抜,目視,定,作報,2026-04-15,清掃7分

C-8,2,清掃,絞り,,パ,水タンクを排水する。,始,作報,,,,,,2026-04-15,

C-8,2,清掃,絞り,,パ,金型をワイプ・エアーで清掃する。,始昼,作報,【特性】カスキズ,抜,目視,定,作報,2026-04-15,始業時と昼にも実施

C-8,2,清掃,爪曲げ,,パ,金型をワイプ・エアーで清掃する。,始昼,作報,【特性】カスキズ,抜,目視,定,作報,2026-04-15,

